text,Sentiment,Score
"b'X-Plycit has a show on 2016-04-30 at 20:00 @Just Another Rap Genius Tourna... in Halifax , NS https://www. reverbnation.com/q/6kjy8g #concert'",positive,0.011363636363636364
b'Halifax artist Certi raps for peaceful streets | ElmsdaleNews http:// fb.me/2AW54cPtu',positive,0.021701388888888888
b'Halifax artist Certi raps for peaceful streets | @scoopit http:// sco.lt/6Ndn6n',positive,0.021701388888888888
b'Halifax artist Certi raps for peaceful streets http:// fb.me/1cSyUwtfL',positive,0.0244140625
b'#ICYMI : Halifax artist Certi raps for peaceful streets http:// herald.ca/WhR pic.twitter.com/R0nteN7014',positive,0.01953125
"b""@tomgreenlive *sadface* No Halifax tour dates. I'd totes love to see a rap battle between you and Classified.""",positive,0.06364803463220596
b'ICYMI: Halifax artist Certi raps for peaceful streets http:// herald.ca/WhR pic.twitter.com/6rk9pfYNUH',positive,0.01953125
b'Halifax artist Certi raps for peaceful streets - TheChronicleHerald.ca - http:// bit.ly/1riSB0H',positive,0.0146484375
b'Downey: Halifax artist Certi raps for peaceful streets http:// community-scene.com/downey/halifax -artist-certi-raps-peaceful-streets?utm_source=twitter \\u2026 #communityscene',positive,0.01775568181818182
b'Halifax artist Certi raps for peaceful streets http:// herald.ca/WhR',positive,0.0244140625
b'Halifax artist Certi raps for peaceful streets http:// herald.ca/WhR pic.twitter.com/H8TkObmZnq',positive,0.021701388888888888
b'Halifax Rap Legend.',negative,-0.11979166666666667
b'@Matt__Devlin & Jack HELLLLOOOO big shout out from Halifax Nova Scotia :) Go raps GO #WeTheNorth #RTZ',positive,0.00889235322112934
b'the HipHop world: Halifax artists take home East Coast Music Awards: ... rapper Quake Matthews took home rap r... http:// bit.ly/1SLN7S1',negative,-0.0006673713456489407
"b'@aamartey1 @NBACanada @Raptors @Sportsnet Raps hired artists to put up murals in Calgary, Vancouver, Halifax , Montreal, Ottawa, Toronto'",positive,3.255208333333333e-05
b'#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #HipHopSoul #Reggae #Soca #OlSkool #Halifax \\u2026 https://www. instagram.com/p/BECH-MrCjmZ/',negative,-0.029947916666666668
"b"">> Bilawal raps PM for letting Musharraf...: Pakistan People's Party (PPP) Chairperson Bila... http:// bit.ly/1SbdII3 #rochdale #halifax""",negative,-0.004752604166666666
"b'@tarawalkden Go Raps ! I am from Halifax , am Raps season set holder and have dogs (and eyes).Nice to meet some Bluenosers.'",positive,0.013961773676176866
"b""#Halifax Detroit's Royce da 5'9'' coming to Halifax on his Canadian tour: Detroit rap hea... http:// bit.ly/1pVBXnw #NovaScotia #Music""",negative,-0.013606266180674235
"b'#TECHNOCRATS RULE Tribe Called Quest star dies aged 45: Rapper Phife Dawg, a member of rap ... http:// bbc.in/1ZrtioM #rochdale #halifax'",positive,0.011022252030670643
b'For The Love of Hip Hop 7/ Rap Genius Kick-Off Party April 16th at @jacobsdartmouth #halifax http://www. thecoast.ca/halifax/for-th e-love-of-hip-hop-7-rap-genius-kick-off-party/Event?oid=5247171 \\u2026',positive,0.056490384615384616
"b""My husband is at a rap concert in Halifax . I'm at a friend's watching HIMYM while a toddler sleeps ;)""",negative,-0.007486979166666667
b'Work from home jobs halifax west yorkshire http:// sh.st/TQMX1 #Ludacris #rap',negative,-0.03504791259765625
"b""@SarahDunsworth if I'm in town u'll hear from me. In any town.Sudbury. Halifax . I'll just keep you apprised of all my travel plans to be safe""",positive,0.008520993319424715
b'@WolstatSun I want training camp back in Halifax since moving from to I miss my raps live fix',negative,-0.062006170099431816
"b""@WolstatSun really I've been seeing raps stuff non stop everyone at work even hockey fans are talking raps in Halifax for me""",negative,-0.03109499514102936
"b""Boss can't wait to do rap battle with you @MI_Abaga and @itzpaddyboy""",positive,0.013392857142857142
"b'#TECHNOCRATS RULE http:// Match.com rapist jailed for life: A sexual predator"" who rap ... http:// bbc.in/1Y4Rnky #rochdale #halifax""'",positive,0.034358433314732144
"b""@LeoRautins @Raptors thanks Leo. Realize it's not your call any support is welcome. 2 training camps in Halifax , 3 trips to TO to see Raps =?""",positive,0.04504435509443283
b'@halifax _moseki You ever wonder what happend to real westcoast rap ? It went underground ! https:// youtu.be/vWc7knSTW4A !!',negative,-0.01621500601565155
"b'Raps game (at @BostonPizza in Halifax , NS) https://www. swarmapp.com/c/kYkpRmg7dLn'",negative,-0.051356724330357144
"b'Halifax , come collect your misogynists. @Frank_Mag wants to know what you think of their misogynist agenda: (902) 420-1668 #RapeCulture'",positive,0.002309794227282206
b'I love that @classified still raps about JJs #halifax #jjrossys #SMU',positive,0.0498046875
"b'I see you Halifax , I love you Halifax . https:// twitter.com/HollabackHRM/s tatus/697539134513160192 \\u2026'",positive,0.08757754947457995
"b""Pals, I'm performing my raps at @PressedOttawa tonight. Early show, 7pm-ish. All ages. Support from Halifax Rap Legend Jesse Dangerously.""",negative,-0.04765625
b'Yo yo im one of the 16 artists selected for the Just Another Rap Genius Tournament in Halifax !!!!! Retweet&Support pic.twitter.com/Ftwf1R7SJx',positive,0.01065340909090909
"b'Not just a bastion of feminist lunacy: Michael McGuire teaches a  rap and religion"" course at @MSVU_ Halifax , according to @MacleansMag""'",negative,-0.010817307692307692
b'@middle_ladle no one even teaches kids in halifax about that',negative,-0.0390625
b'@SophieDelancey @AfterStonewall @venusenvyhfx oooh ooops halifax said that already!',positive,0.008056640625
b'Rapping to raise funds and awareness @MSVU_ Halifax @1013TheBOUNCE @CEED_NS #cuase4D #rap #entrepreneur pic.twitter.com/lfyLupLu3W',negative,-0.01267468895424496
"b'#Halifax An interview with hometown rap hero Classified: On January 15, Halifax rapper Cl...... http:// fb.me/75pi0I6Nt'",negative,-0.011067708333333334
"b'#Halifax An interview with hometown rap hero Classified: On January 15, Halifax rapper\\xa0Cl... http:// bit.ly/1JJem20 #NovaScotia #Music'",positive,0.0016043526785714285
b'Halifax -born singer-songwriter Sarah McLachlan is 48. Rap artist DJ Muggs with Cypress Hill is 48.',negative,-0.0359375
"b'Coast - An interview with hometown rap hero Classified: On January 15, Halifax rapper\\xa0Classified released Gr... http:// bit.ly/1QHps93'",negative,-0.00732421875
b'RO RAP IS ON A 2 hr DELAY AND HALIFAX IS CLOSED. COME ON DR WELLS GET ME A SNOW DAY',negative,-0.0531005859375
"b""@MichaelRapaport @iamrapaport I don't fact check either but I'm pretty sure E rap doesn't work at U of Halifax . #Canada #Doesntexist""",negative,-0.02242060006260872
b'Rap Ting @theseahorse tonight w/ @GHETTOSOCKS @thisisambeez @Twoo & @Realey3z ++ @SkratchBastid @okaytkokay upstairs! Big win for #Halifax !',negative,-0.005693708147321429
b'#Listen to #SmoothGroovesCKDU #January 10th #2016 here: https://www. mixcloud.com/rssmooth/mooth -groove-january-10th-2016-ckdu-881-fm-hosted-by-r-mooth/ \\u2026 #HipHop #RnB #Rap #HipHopSoul #Radio #DJ #Halifax #Scotia',negative,-0.029947916666666668
"b""@teambackpack #Toronto #Cypher is #Halifax we're up! #Challenge #bars #rap""",negative,-0.03794642857142857
b'@LeoRautins @Raptors thanks for the tweet backs. We are big fans from the NB. Took kids to Halifax for 2 training camps for Raps squad games',positive,0.0246734619140625
