text,Sentiment,Score
b'@roubaix_NS @MeganLeslieMP @lucydecoutere yeah Halifax guys too! Halifax Rap Legend Jesse Dangerously is tweeting #ibelievelucy from @rljd',negative,-0.030133928571428572
"b'@MeganLeslieMP @lucydecoutere Halifax feminists forever! <3 We hear you, we believe you, we thank you for your bravery!!!'",negative,-0.013454861111111112
b'xdannyxbrownx Danny Brown at Halifax Pop Explosion #hpx #dannybrown #hiphop #rap #festival #music \\u2026 http:// instagram.com/p/umYVDxMopS/',negative,-0.026227678571428572
"b'Really Kira? But I heard you were fucking that white Halifax rapper?"" Me:""Yeah I\'d love to tell you all about it, but...that\'s Classified"".""'",positive,0.117474365234375
b'I am have a grood time at the halifax pop asplosion so far gonna work the door at the big rap show tonite i am excite #raps',negative,-0.03669429744283358
"b""@blargvark P' raps it's returning to TO that's causing anxiety, not leaving Halifax .""",negative,-0.07115960121154785
b'Halifax needs a rap radio station',negative,-0.078125
"b'http:// youtu.be/Jg-2CAAUHb0 Graffiti Gonzo -Hot16"" #PROMO #RAP #HipHop #hits #yyc #Halifax #NewMusic #NewYork #NYC #bronx #TuneIn #Resurrection""'",negative,-0.029541015625
b'@LeoRautins love watching raps preseason and NBA but man these 11pm start times (in Halifax ) kill when you work at 6am',positive,0.04532882415999969
b'#Calderdale head teachers rap bid for new sixth form college in #Halifax - Halifax Courier: http://www. halifaxcourier.co.uk/news/calderdal e/heads-rap-bid-for-sixth-form-1-6879509#.VDJYuXYDbx8.twitter \\u2026',positive,0.029815109570821126
b'Heads rap bid for sixth form - Halifax Courier: http://www. halifaxcourier.co.uk/news/calderdal e/heads-rap-bid-for-sixth-form-1-6879509#.VDJVRkqYEM0.twitter \\u2026 #Calderdale #WYorks',positive,0.015626907348632812
b'Heads rap bid for sixth form - Halifax Courier: http://www. halifaxcourier.co.uk/news/calderdal e/heads-rap-bid-for-sixth-form-1-6879509#.VDJVRkqYEM0.twitter \\u2026 #WYorks',positive,0.017047535289417614
b'#Halifax Krizz Kaliko singing #Unstable #Music #Concert #Rap #HRMEvents #Events ... http:// fb.me/1UgpsJAfp',negative,-0.0126953125
b'http:// youtu.be/90TbBPu7_Y4 #Calgary #Canada #HipHop #Halloween #edition #tbt #music is #life #Vancouver #Toronto #Halifax #rap #graffiti #gonzo',negative,-0.020477294921875
"b""It's official! Halifax nov 7 then ontario on the 10th til the 16th. Leafs vs Bruins, raps vs Bulls, leafs vs pens, raps vs jazz""",negative,-0.010416666666666666
b'KOTD rap battle in Halifax was not bad !! Still think pat stay took the W tho #champ #KOTD',positive,0.017039162705742683
b'@rljd ps you moving to halifax ?',positive,0.0156402587890625
b'@Cupcakes_n_ Rap wait I never asked. Where do I get a wearable map of Halifax /Dartmouth??',negative,-0.058162795892308675
"b""I'm Ranked #3 on the ReverbNation Rap charts for Helltown( Halifax ), NS, CA. http://www. reverbnation.com/jaethompson""",negative,-0.0359375
b'. @TheFuckingFacts ha well I am deeply in love with Halifax folks!! Thank you so much for being amazing last night. (Kira-Lynn Lamby)',positive,0.07598514229910713
b'Wore my map of Halifax /Dartmouth to @venusenvyottawa not even knowing anything about @TheFuckingFacts or where she works lives & it was perf',positive,0.0030640225857496263
